v1, v2, dup lines, len_v1, len_v2, measure
1.0.3, 1.9.0, 0, 6606, 7713, 0.0
1.0.3, 1.9.1, 0, 6606, 7747, 0.0
1.0.3, 2.0.0, 0, 6606, 6987, 0.0
1.0.3, 2.0.1, 0, 6606, 7013, 0.0
1.0.3, 2.0.2, 0, 6606, 7008, 0.0
1.0.3, 2.0.3, 0, 6606, 7021, 0.0
1.0.3, 2.1.0, 82, 6606, 20879, 0.002983445515735856
1.0.3, 2.1.1, 84, 6606, 20968, 0.00304634800899398
1.0.3, 2.1.2, 84, 6606, 20988, 0.0030441400304414
1.0.3, 2.1.3, 84, 6606, 20988, 0.0030441400304414
1.0.3, 2.1.4, 84, 6606, 20993, 0.003043588535816515
1.0.3, 2.2.0, 20, 6606, 8517, 0.0013224889241552603
1.0.3, 2.2.1, 20, 6606, 8517, 0.0013224889241552603
1.0.3, 2.2.2, 20, 6606, 8519, 0.001322314049586777
1.0.3, 2.2.3, 20, 6606, 8519, 0.001322314049586777
1.0.3, 2.2.4, 20, 6606, 8491, 0.0013247665099026297
1.0.3, 3.0.0, 51, 6606, 8959, 0.0032765820751686475
1.0.3, 3.1.0, 48, 6606, 9001, 0.0030755430255654513
1.0.3, 3.1.1, 49, 6606, 9098, 0.003120224146714213
1.0.3, 3.2.0, 47, 6606, 9134, 0.0029860228716645488
1.0.3, 3.2.1, 47, 6606, 9141, 0.00298469549755509
1.0.3, 3.3.0, 40, 6606, 9307, 0.0025136680701313393
1.0.3, 3.3.1, 40, 6606, 9307, 0.0025136680701313393
1.0.3, 3.4.0, 40, 6606, 9543, 0.0024769335562573533
1.0.3, 3.4.1, 40, 6606, 9556, 0.0024749412201460217
1.0.4, 1.1, 1443, 6969, 6217, 0.10943424844532079
1.0.4, 1.1.1, 1448, 6969, 6259, 0.10946477169640158
1.0.4, 1.1.2, 1395, 6969, 6430, 0.10411224718262557
1.0.4, 1.1.3, 615, 6969, 6860, 0.04447176223877359
1.0.4, 1.1.3.1, 639, 6969, 6864, 0.04619388418998048
1.0.4, 1.1.4, 469, 6969, 7389, 0.03266471653433626
1.0.4, 1.10.0, 17, 6969, 7812, 0.0011501251606792504
1.0.4, 1.10.1, 17, 6969, 7809, 0.0011503586412234402
1.0.4, 1.10.2, 17, 6969, 7817, 0.0011497362369809279
1.0.4, 1.11.0, 99, 6969, 21947, 0.003423710056716005
1.0.4, 1.11.1, 114, 6969, 21927, 0.0039451827242524915
1.0.4, 1.11.2, 114, 6969, 21970, 0.0039393206399668266
1.0.4, 1.11.3, 114, 6969, 21975, 0.003938640132669984
1.0.4, 1.12.0, 32, 6969, 9521, 0.0019405700424499697
1.0.4, 1.12.1, 32, 6969, 9520, 0.0019406877312147493
1.0.4, 1.12.2, 32, 6969, 9507, 0.0019422189851905803
1.0.4, 1.12.3, 32, 6969, 9500, 0.0019430445078632583
1.0.4, 1.12.4, 32, 6969, 9494, 0.0019437526574743365
1.0.4, 1.2, 115, 6969, 2966, 0.011575239053850024
1.0.4, 1.2.1, 115, 6969, 2993, 0.011543866693435054
1.0.4, 1.2.2, 17, 6969, 3383, 0.0016421947449768162
1.0.4, 1.2.3, 17, 6969, 3408, 0.00163823841187241
1.0.4, 1.2.4, 17, 6969, 3546, 0.0016167379933428436
1.0.4, 1.2.5, 17, 6969, 3546, 0.0016167379933428436
1.0.4, 1.2.6, 17, 6969, 3551, 0.0016159695817490494
1.0.4, 1.3, 31, 6969, 4243, 0.0027648947556189797
1.0.4, 1.3.0, 31, 6969, 4243, 0.0027648947556189797
1.0.4, 1.3.1, 31, 6969, 4243, 0.0027648947556189797
1.0.4, 1.3.2, 53, 6969, 4377, 0.00467124977965803
1.0.4, 1.4, 50, 6969, 4949, 0.00419533478771606
1.0.4, 1.4.0, 50, 6969, 4949, 0.00419533478771606
1.0.4, 1.4.1, 50, 6969, 5024, 0.004169098640873843
1.0.4, 1.4.2, 50, 6969, 5184, 0.0041142104830083105
1.0.4, 1.4.3, 17, 6969, 5729, 0.0013387935107891007
1.0.4, 1.4.4, 17, 6969, 5863, 0.0013248129675810475
1.0.4, 1.5, 17, 6969, 6801, 0.0012345679012345679
1.0.4, 1.5.0, 17, 6969, 6801, 0.0012345679012345679
1.0.4, 1.5.1, 17, 6969, 6931, 0.001223021582733813
1.0.4, 1.5.2, 17, 6969, 6975, 0.001219162363740677
1.0.4, 1.6, 17, 6969, 7460, 0.0011781828262526855
1.0.4, 1.6.0, 17, 6969, 7460, 0.0011781828262526855
1.0.4, 1.6.1, 17, 6969, 7525, 0.001172899130674762
1.0.4, 1.6.2, 36, 6969, 7571, 0.0024759284731774417
1.0.4, 1.6.3, 36, 6969, 7633, 0.0024654156964799344
1.0.4, 1.6.4, 36, 6969, 7635, 0.0024650780608052587
1.0.4, 1.7, 36, 6969, 7860, 0.002427675500708072
1.0.4, 1.7.0, 36, 6969, 7860, 0.002427675500708072
1.0.4, 1.7.1, 36, 6969, 7826, 0.0024332544778641434
1.0.4, 1.7.2, 36, 6969, 7960, 0.002411414026391587
1.0.4, 1.8.0, 35, 6969, 7767, 0.0023751357220412597
1.0.4, 1.8.1, 35, 6969, 7772, 0.002374330099721864
1.0.4, 1.8.2, 35, 6969, 7776, 0.002373685995252628
1.0.4, 1.8.3, 35, 6969, 7790, 0.002371434379022969
1.0.4, 1.9.0, 17, 6969, 7713, 0.0011578803977659719
1.0.4, 1.9.1, 17, 6969, 7747, 0.0011552052188094591
1.0.4, 2.0.0, 17, 6969, 6987, 0.0012181140728002293
1.0.4, 2.0.1, 17, 6969, 7013, 0.001215848948648262
1.0.4, 2.0.2, 17, 6969, 7008, 0.0012162838949703084
1.0.4, 2.0.3, 17, 6969, 7021, 0.0012151536812008577
1.0.4, 2.1.0, 99, 6969, 20879, 0.0035550129273197355
1.0.4, 2.1.1, 101, 6969, 20968, 0.00361527723091241
1.0.4, 2.1.2, 101, 6969, 20988, 0.0036126909181958006
1.0.4, 2.1.3, 101, 6969, 20988, 0.0036126909181958006
1.0.4, 2.1.4, 101, 6969, 20993, 0.00361204491810314
1.0.4, 2.2.0, 31, 6969, 8517, 0.002001808084721684
1.0.4, 2.2.1, 31, 6969, 8517, 0.002001808084721684
1.0.4, 2.2.2, 31, 6969, 8519, 0.0020015495867768593
1.0.4, 2.2.3, 31, 6969, 8519, 0.0020015495867768593
1.0.4, 2.2.4, 31, 6969, 8491, 0.0020051746442432085
1.0.4, 3.0.0, 60, 6969, 8959, 0.0037669512807634357
1.0.4, 3.1.0, 57, 6969, 9001, 0.003569192235441453
1.0.4, 3.1.1, 58, 6969, 9098, 0.0036098836123731872
1.0.4, 3.2.0, 58, 6969, 9134, 0.0036018133267093086
1.0.4, 3.2.1, 58, 6969, 9141, 0.0036002482929857233
1.0.4, 3.3.0, 55, 6969, 9307, 0.003379208650774146
1.0.4, 3.3.1, 55, 6969, 9307, 0.003379208650774146
1.0.4, 3.4.0, 55, 6969, 9543, 0.003330910852713178
1.0.4, 3.4.1, 55, 6969, 9556, 0.0033282904689863843
1.1, 1.1.1, 2159, 6217, 6259, 0.17305226033985252
1.1, 1.1.2, 2146, 6217, 6430, 0.16968451016051236
1.1, 1.1.3, 1927, 6217, 6860, 0.14735795671790167
1.1, 1.1.3.1, 1927, 6217, 6864, 0.1473128965675407
1.1, 1.1.4, 1754, 6217, 7389, 0.12891371453770395
1.1, 1.10.0, 17, 6217, 7812, 0.0012117756076698268
1.1, 1.10.1, 17, 6217, 7809, 0.001212034792528162
1.1, 1.10.2, 17, 6217, 7817, 0.0012113438791506342
1.1, 1.11.0, 99, 6217, 21947, 0.0035151256923732425
1.1, 1.11.1, 115, 6217, 21927, 0.004086128482092098
1.1, 1.11.2, 115, 6217, 21970, 0.004079894987050768
1.1, 1.11.3, 115, 6217, 21975, 0.004079171396140749
1.1, 1.12.0, 37, 6217, 9521, 0.0023509975854619394
1.1, 1.12.1, 37, 6217, 9520, 0.00235114697845841
1.1, 1.12.2, 37, 6217, 9507, 0.0023530908165861103
1.1, 1.12.3, 37, 6217, 9500, 0.0023541388305656297
1.1, 1.12.4, 37, 6217, 9494, 0.0023550378715549614
1.1, 1.2, 423, 6217, 2966, 0.046063377981051944
1.1, 1.2.1, 429, 6217, 2993, 0.04657980456026058
1.1, 1.2.2, 144, 6217, 3383, 0.015
1.1, 1.2.3, 144, 6217, 3408, 0.014961038961038961
